price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,type,paint_color,F1,F2,F3,F4
26473.0,2013.0,ford,excellent,8 cylinders,gas,,automatic,truck,white,1245,2.2707728273226984,0.059436488438217534,c
4111.0,2009.0,ford,good,6 cylinders,gas,120000.0,automatic,sedan,silver,136,2.092496471516701,-0.14026667876140295,a
28091.0,2013.0,ford,excellent,6 cylinders,gas,114000.0,automatic,pickup,white,761,2.5115818316486527,0.23171945246135914,a
5288.0,2004.0,ford,good,8 cylinders,gas,,automatic,truck,blue,128,2.0733380495015656,0.14958744104124214,c
11737.0,2014.0,ford,good,8 cylinders,gas,140000.0,automatic,pickup,white,117,2.3019832660658515,0.18283423312662334,a
30918.0,2008.0,ford,good,8 cylinders,gas,107667.0,automatic,truck,white,3324,2.2741115224061508,0.1703682157407334,a
26236.0,2017.0,ford,excellent,6 cylinders,gas,56709.0,automatic,sedan,white,1558,2.4988117827204426,0.29982292524295995,a
2994.0,2000.0,ford,good,6 cylinders,gas,231747.0,automatic,SUV,white,176,1.832377993607002,0.03936939372030284,a
13123.0,2005.0,subaru,excellent,4 cylinders,gas,78400.0,automatic,SUV,red,5701,2.1629210503073524,0.009632970167772441,c
14387.0,2008.0,ford,good,8 cylinders,gas,173323.0,automatic,truck,white,1401,2.0856465453029824,-0.04054194111351828,c
14192.0,2014.0,ford,excellent,6 cylinders,gas,142444.0,automatic,truck,white,1143,2.4407305500347776,0.10019366514597364,c
2857.0,2005.0,ford,good,4 cylinders,gas,150000.0,automatic,SUV,blue,109,2.289056765290226,0.14280498670013805,c
11992.0,2016.0,ford,good,4 cylinders,gas,104892.0,automatic,sedan,silver,3015,2.3433696089856144,0.11971209057701135,b
16599.0,2012.0,ford,good,8 cylinders,gas,67820.0,automatic,truck,white,2603,2.344483248635228,0.03811210763045159,c
2515.0,1999.0,ford,excellent,8 cylinders,gas,132563.0,automatic,sedan,black,268,2.0981754988160146,0.14328357086745347,b
6295.0,2011.0,ford,excellent,4 cylinders,gas,72700.0,automatic,sedan,silver,325,2.22704624080583,0.12158280719384194,b
20540.0,2016.0,ford,excellent,6 cylinders,gas,109144.0,automatic,pickup,white,496,2.3916423968726708,0.0602977933538917,a
9231.0,2011.0,subaru,good,4 cylinders,gas,253919.0,automatic,sedan,black,1194,2.380453350386317,0.2052906811558564,b
10518.0,2016.0,subaru,excellent,4 cylinders,gas,146928.0,automatic,sedan,red,104,2.3682994465979803,0.08036159768541029,b
4746.0,2008.0,ford,excellent,8 cylinders,gas,135889.0,automatic,sedan,white,622,2.2212920543939885,0.06403734496797535,a
13703.0,2011.0,subaru,good,4 cylinders,gas,84301.0,automatic,SUV,silver,2778,2.2387902648457825,0.1423737170272494,c
6060.0,2008.0,ford,good,6 cylinders,gas,109222.0,automatic,SUV,red,555,2.075346217203335,0.04934128009536986,a
21123.0,2016.0,ford,excellent,6 cylinders,gas,48693.0,automatic,pickup,silver,4584,2.2821134998816905,0.14495057486427665,b
42406.0,2017.0,ford,good,8 cylinders,gas,19527.0,automatic,truck,white,886,2.425751768313266,0.04016884651688875,b
2418.0,2006.0,ford,fair,6 cylinders,gas,162309.0,automatic,SUV,black,77,2.1882109259440927,-0.032572169650556586,c
28816.0,2018.0,ford,good,6 cylinders,gas,20742.0,automatic,pickup,blue,4956,2.53029174277066,-0.05580268173741682,a
24182.0,2015.0,ford,excellent,6 cylinders,gas,102507.0,automatic,SUV,black,1454,2.177808409452546,0.15650574961346173,a
11640.0,2013.0,subaru,excellent,4 cylinders,gas,139120.0,automatic,SUV,silver,3256,2.4760796844242887,0.0609496101161985,a
10280.0,2013.0,subaru,excellent,4 cylinders,gas,124494.0,automatic,SUV,black,1442,2.322892754037409,0.04042451714868822,a
6426.0,2008.0,subaru,excellent,4 cylinders,gas,161723.0,automatic,sedan,white,3261,1.9648381413465539,0.07517454325087093,c
500.0,2016.0,ford,good,6 cylinders,gas,57513.0,automatic,truck,white,1653,2.4537952105722387,-0.07267723322948444,a
23697.0,2014.0,ford,like new,8 cylinders,gas,152377.0,automatic,truck,white,1176,2.36457630597895,0.24753156348429986,c
11125.0,2012.0,ford,good,6 cylinders,gas,121300.0,automatic,SUV,white,304,2.319179509604581,0.03250946107113893,b
16481.0,2012.0,ford,good,8 cylinders,gas,67820.0,automatic,truck,white,2603,2.3378646057756987,0.030695842865156163,c
2404.0,1991.0,ford,fair,6 cylinders,gas,250000.0,manual,SUV,white,559,1.824049606964544,0.057721404019104826,a
11302.0,2013.0,ford,excellent,6 cylinders,gas,190000.0,automatic,SUV,black,133,2.211946621491113,0.2708223295412423,a
5345.0,2003.0,ford,good,8 cylinders,gas,230500.0,automatic,pickup,white,236,1.9997836181443656,0.2575886299556137,c
6790.0,2008.0,ford,good,8 cylinders,gas,144000.0,automatic,truck,black,347,2.2362801722310697,0.3579482712384825,c
4499.0,2004.0,ford,excellent,8 cylinders,gas,156523.0,automatic,pickup,black,1101,2.126203349009919,-0.11134854670127342,a
800.0,2017.0,ford,excellent,8 cylinders,gas,49548.0,automatic,truck,blue,9399,2.441921134560803,0.17986811012811454,b
48150.0,2018.0,ford,like new,6 cylinders,gas,57309.0,automatic,truck,white,327,2.479404955059468,0.014052728168399559,a
